GOST_Number;FullDesignation;ThreadSize;MaterialGroup;Coating;SteelGrade;ThreadDiameter;ThreadPitch
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M24-A2-025;M24;A2-025;;A2;24.0;3
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M24-A4-025;M24;A4-025;;A4;24.0;3
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M30-04;M30;04;;;30.0;3.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M30-05;M30;05;;;30.0;3.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M30-A2-035;M30;A2-035;;A2;30.0;3.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M30-A4-035;M30;A4-035;;A4;30.0;3.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M30-A2-025;M30;A2-025;;A2;30.0;3.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M30-A4-025;M30;A4-025;;A4;30.0;3.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M36-04;M36;04;;;36.0;4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M36-05;M36;05;;;36.0;4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M36-A2-035;M36;A2-035;;A2;36.0;4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M36-A4-035;M36;A4-035;;A4;36.0;4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M36-A2-025;M36;A2-025;;A2;36.0;4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M36-A4-025;M36;A4-025;;A4;36.0;4
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M42-04;M42;04;;;42.0;4.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M42-05;M42;05;;;42.0;4.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M42-A2-035;M42;A2-035;;A2;42.0;4.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M42-A4-035;M42;A4-035;;A4;42.0;4.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M42-A2-025;M42;A2-025;;A2;42.0;4.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M42-A4-025;M42;A4-025;;A4;42.0;4.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M48-04;M48;04;;;48.0;5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M48-05;M48;05;;;48.0;5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M48-A2-035;M48;A2-035;;A2;48.0;5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M48-A4-035;M48;A4-035;;A4;48.0;5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M48-A2-025;M48;A2-025;;A2;48.0;5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M48-A4-025;M48;A4-025;;A4;48.0;5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M56-04;M56;04;;;56.0;5.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M56-05;M56;05;;;56.0;5.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M56-A2-035;M56;A2-035;;A2;56.0;5.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M56-A4-035;M56;A4-035;;A4;56.0;5.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M56-A2-025;M56;A2-025;;A2;56.0;5.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M56-A4-025;M56;A4-025;;A4;56.0;5.5
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M64-04;M64;04;;;64.0;6
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M64-05;M64;05;;;64.0;6
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M64-A2-035;M64;A2-035;;A2;64.0;6
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M64-A4-035;M64;A4-035;;A4;64.0;6
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M64-A2-025;M64;A2-025;;A2;64.0;6
ISO 4035-2014;Gajka shestigrannaya nizkaya GOST ISO 4035-2014 - M64-A4-025;M64;A4-025;;A4;64.0;6
